Time,Time (unix),mentions,,
1/9/2016 19:00,1452384000,184,,
1/10/2016 19:00,1452470400,200,,
1/11/2016 19:00,1452556800,254,,
1/12/2016 19:00,1452643200,392,,
1/13/2016 19:00,1452729600,230,,
1/14/2016 19:00,1452816000,313,,
1/15/2016 19:00,1452902400,158,,
1/16/2016 19:00,1452988800,143,,
1/17/2016 19:00,1453075200,180,,
1/18/2016 19:00,1453161600,309,,
1/19/2016 19:00,1453248000,232,,
1/20/2016 19:00,1453334400,316,,
1/21/2016 19:00,1453420800,265,,
1/22/2016 19:00,1453507200,146,,
1/23/2016 19:00,1453593600,122,,
1/24/2016 19:00,1453680000,188,,
1/25/2016 19:00,1453766400,225,,
1/26/2016 19:00,1453852800,486,,
1/27/2016 19:00,1453939200,341,,
1/28/2016 19:00,1454025600,228,,
1/29/2016 19:00,1454112000,151,,
1/30/2016 19:00,1454198400,266,,
1/31/2016 19:00,1454284800,332,,
2/1/2016 19:00,1454371200,460,,
2/2/2016 19:00,1454457600,164,,
2/3/2016 19:00,1454544000,145,,
2/4/2016 19:00,1454630400,135,,
2/5/2016 19:00,1454716800,67,,
2/6/2016 19:00,1454803200,56,,
2/7/2016 19:00,1454889600,176,,
2/8/2016 19:00,1454976000,194,,
2/9/2016 19:00,1455062400,472,,
2/10/2016 19:00,1455148800,208,,
2/11/2016 19:00,1455235200,221,,
2/12/2016 19:00,1455321600,142,,
2/13/2016 19:00,1455408000,121,,
2/14/2016 19:00,1455494400,94,,
2/15/2016 19:00,1455580800,287,,
2/16/2016 19:00,1455667200,310,,
2/17/2016 19:00,1455753600,217,,
2/18/2016 19:00,1455840000,1378,,
2/19/2016 19:00,1455926400,726,,
2/20/2016 19:00,1456012800,229,,
2/21/2016 19:00,1456099200,214,,
2/22/2016 19:00,1456185600,244,,
2/23/2016 19:00,1456272000,308,,
2/24/2016 19:00,1456358400,408,,
2/25/2016 19:00,1456444800,221,,
2/26/2016 19:00,1456531200,114,,
2/27/2016 19:00,1456617600,87,,
2/28/2016 19:00,1456704000,174,,
2/29/2016 19:00,1456790400,416,,
3/1/2016 19:00,1456876800,276,,
3/2/2016 19:00,1456963200,290,,
3/3/2016 19:00,1457049600,245,,
3/4/2016 19:00,1457136000,100,,
3/5/2016 19:00,1457222400,93,,
3/6/2016 19:00,1457308800,250,,
3/7/2016 19:00,1457395200,236,,
3/8/2016 19:00,1457481600,157,,
3/9/2016 19:00,1457568000,169,,
3/10/2016 19:00,1457654400,177,,
3/11/2016 19:00,1457740800,130,,
3/12/2016 19:00,1457827200,75,,
3/13/2016 20:00,1457913600,147,,
3/14/2016 20:00,1458000000,240,,
3/15/2016 20:00,1458086400,185,,
3/16/2016 20:00,1458172800,220,,
3/17/2016 20:00,1458259200,262,,
3/18/2016 20:00,1458345600,102,,
3/19/2016 20:00,1458432000,80,,
3/20/2016 20:00,1458518400,145,,
3/21/2016 20:00,1458604800,359,,
3/22/2016 20:00,1458691200,208,,
3/23/2016 20:00,1458777600,227,,
3/24/2016 20:00,1458864000,212,,
3/25/2016 20:00,1458950400,122,,
3/26/2016 20:00,1459036800,70,,
3/27/2016 20:00,1459123200,148,,
3/28/2016 20:00,1459209600,137,,
3/29/2016 20:00,1459296000,277,,
3/30/2016 20:00,1459382400,246,,
3/31/2016 20:00,1459468800,200,,
4/1/2016 20:00,1459555200,72,,
4/2/2016 20:00,1459641600,65,,
4/3/2016 20:00,1459728000,136,,
4/4/2016 20:00,1459814400,113,,
4/5/2016 20:00,1459900800,135,,
4/6/2016 20:00,1459987200,179,,
4/7/2016 20:00,1460073600,125,,
4/8/2016 20:00,1460160000,68,,
4/9/2016 20:00,1460246400,48,,
4/10/2016 20:00,1460332800,140,,
4/11/2016 20:00,1460419200,1041,,
4/12/2016 20:00,1460505600,524,,
