API Number,Well Name,Well Number,qtrqtr,sec,twp,range,lat,long,Elevation,Facility_type,Facility_status,fluid_type,max_wat_inj_press,max_inj_volume,not_injector_date,Formation_code,Formation,TopPeforation,BottomPerforation,NumberPerforations,PerforationSize,MeasuredDepth,TrueVerticalDepth,MeasuredPlugBackDepth,TrueVerticalPlugBackDepth,TopPerforationSubSea,BottomPerforationSubSea
05-081-05065-00,MAUDLIN GULCH UNIT                 ,2,NESE,27,4N,95W,40.28414,-108.02976,7462,UIC DISPOSAL,IJ,PRODUCED WATER        ,1720,,,SNDC  ,SUNDANCE                                          ,,,,,6813,0,6810,,,
05-077-08801-00,ORCHARD FEDERAL DISPOSAL           ,1,SWNW,28,8S,96W,39.32072,-108.12222,5672,UIC DISPOSAL,SI,PRODUCED WATER        ,830,33881000,,WMFK  ,WILLIAMS FORK                                     ,3504,4703,44,0.36,5526,5523,3277,,2168,969
05-075-09396-00,Haley Smith                        ,44-24          ,SESE,24,11N,54W,40.90789,-103.34599,4302,UIC DISPOSAL,IJ,PRODUCED WATER        ,871,6650000,,JSND  ,J SAND                                            ,5218,5240,88,0.42,5399,,5383,,-916,-938
05-075-09407-00,ECGS                               ,6-20J WPW003   ,SESE,6,11N,52W,40.95074,-103.21311,4553,UIC DISPOSAL,PR,PRODUCED WATER        ,893,10560000,,DK-J  ,DAKOTA-JSND                                       ,,,,,5484,,5390,,,
05-081-05483-00,CARL ALLEN                         ,2,NENW,32,12N,97W,40.96126,-108.31699,6683,UIC ENHANCED RECOVERY,PR,PRODUCED WATER        ,854,,00:00.0,WSTC  ,WASATCH                                           ,1794,2130,136,,5150,,1850,,4889,4553
05-081-05497-00,DONNELL J C                        ,6,SESW,29,12N,97W,40.964428,-108.317148,6682,UIC ENHANCED RECOVERY,PA,PRODUCED WATER        ,853,,00:00.0,WSTC  ,WASATCH                                           ,,,,,5160,0,5125,,,
05-081-05537-00,KUYKENDALL                         ,7,NWSW,23,12N,100W,40.984761,-108.609291,7166,UIC ENHANCED RECOVERY,PA,PRODUCED WATER        ,1298,,00:00.0,WSTC  ,WASATCH                                           ,,,,,2401,0,2375,,,
05-081-05544-00,"WILSON, F                          ",1-SWD          ,SWNE,22,12N,100W,40.986466,-108.619187,7135,UIC DISPOSAL,PA,PRODUCED WATER        ,385,,00:00.0,WSTC  ,WASATCH                                           ,,,,,2606,2606,2249,,,
05-081-05571-00,C F & I CORP.                      ,1,SESW,13,12N,89W,40.99004,-107.32832,6779,UIC DISPOSAL,SI,PRODUCED WATER        ,1000,10510000,,DPCK  ,DEEP CREEK SAND                                   ,,,,,8525,0,2900,,,
05-081-05652-00,CLARK *E J                         ,1,SENW,24,5N,91W,40.37306,-107.557608,6364,UIC DISPOSAL,PA,PRODUCED WATER        ,390,,00:00.0,MNCS  ,MANCOS                                            ,,,,,1467,1467,0,,,
05-081-05695-00,TRELEAVEN-GOV                      ,8,SWSW,29,5N,95W,40.35006,-108.0929,7312,UIC ENHANCED RECOVERY,IJ,PRODUCED WATER        ,1473,,,SRMP  ,SHINARUMP                                         ,7102,7115,52,,6230,0,6171,,210,197
05-081-06112-00,DONNELL*J C                        ,9,SWSE,29,12N,97W,40.964606,-108.313369,6690,UIC ENHANCED RECOVERY,PR,PRODUCED WATER        ,1960,,00:00.0,WSTC  ,WASATCH                                           ,5025,5080,2,,6502,0,6275,,1665,1610
05-081-06178-00,BUCK PEAK STATE                    ,16-Jan,SWNE,16,6N,90W,40.479043,-107.493367,6467,UIC DISPOSAL,IJ,PRODUCED WATER        ,950,2700000,,NBRR  ,NIOBRARA                                          ,,,,,7709,0,7580,,,
05-081-06188-00,DOLEZAL-FEDERAL                    ,01-Apr,NWSE,4,6N,92W,40.497347,-107.721464,6738,UIC DISPOSAL,PA,PRODUCED WATER        ,990,,00:00.0,MVRD  ,MESAVERDE                                         ,3120,3128,,,8176,8176,3330,,3618,3610
05-081-06202-00,BIGHOLE-FEDERAL                    ,01-Oct,SWSW,10,10N,94W,40.83664,-107.94029,6664,UIC DISPOSAL,IJ,PRODUCED WATER        ,1010,,,FTUN  ,FORT UNION                                        ,6050,6300,,3.125,8150,,6600,,614,364
05-081-06640-00,GOV'T-JENSEN-MARK                  ,1,SENE,17,4N,95W,40.318507,-108.070153,7262,UIC DISPOSAL,PA,PRODUCED WATER        ,1700,,00:00.0,ENRD  ,ENTRADA                                           ,,,,,10570,0,7571,,,
