Geography:,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Massachusetts,"30,730","30,894","31,890","33,438","35,883","37,262","39,269","40,852","42,835","42,852","41,814","40,797","41,568","41,759","42,484","43,391","44,553","45,937","47,739","49,426","52,841","53,180","52,302","52,416","53,473","54,062","56,301","57,200","56,900","55,488","56,056","57,173","58,510","57,459","58,737"
Michigan,"29,224","28,463","27,962","29,016","30,740","32,117","33,352","33,268","33,987","34,804","34,330","33,316","34,023","34,581","36,026","36,760","37,268","38,154","39,555","40,367","41,273","40,439","39,920","39,958","40,219","39,900","39,748","39,792","39,400","37,685","38,207","39,299","39,849","39,828","40,740"
Minnesota,"29,328","29,251","29,362","29,896","32,366","32,964","34,072","34,843","34,766","35,951","35,862","35,055","36,148","35,680","36,865","37,544","38,901","39,723","42,166","42,900","44,447","44,558","44,613","45,356","46,268","45,807","46,547","47,447","47,568","45,303","46,205","47,582","48,758","48,173","48,998"
Mississippi,"20,478","20,716","20,468","20,678","21,557","21,867","22,197","22,699","23,394","24,225","24,074","24,131","25,014","25,574","26,634","27,034","27,616","28,208","29,149","29,264","29,669","30,493","30,497","30,851","31,648","32,481","32,942","33,727","33,764","33,304","33,414","33,651","34,153","34,170","34,431"
Missouri,"26,906","27,164","27,356","28,213","29,779","30,636","31,524","31,856","32,296","32,907","32,418","32,265","33,116","33,303","34,043","34,459","35,118","36,122","37,082","37,517","38,512","38,499","38,488","38,930","39,642","39,523","40,409","40,919","41,173","40,054","39,769","40,035","41,141","40,946","41,639"
Montana,"26,265","26,792","26,314","26,544","26,672","26,115","26,925","27,001","26,798","28,220","28,141","28,461","28,819","29,592","29,057","29,300","29,472","29,902","31,530","31,607","32,435","33,093","33,291","34,301","35,311","35,835","36,975","38,101","38,392","37,098","37,706","38,895","40,313","39,510","39,903"
Nebraska,"26,977","28,247","28,580","28,676","30,428","31,050","31,569","32,018","32,750","33,069","33,464","33,035","33,764","33,573","34,492","35,080","36,743","36,671","38,390","39,115","39,836","40,349","40,397","41,953","42,313","42,152","42,258","43,935","44,676","43,275","43,443","46,115","46,990","46,999","47,557"
Nevada,"33,922","33,419","32,383","32,591","33,227","34,026","35,018","35,431","36,835","37,409","37,096","36,865","38,081","38,269","38,898","39,372","40,158","40,552","41,515","42,240","42,932","42,503","41,958","42,900","44,789","46,894","46,877","46,738","44,255","40,743","40,073","39,722","40,658","39,854","40,742"
New Hampshire,"28,831","29,199","29,933","31,543","33,534","35,076","37,029","38,464","39,597","39,641","37,500","37,259","37,656","37,409","38,540","39,320","39,865","41,329","43,559","44,356","47,143","46,993","46,739","46,569","48,105","48,016","49,457","49,819","49,350","48,471","49,180","50,520","52,112","51,349","52,773"
New Jersey,"33,870","34,109","34,597","36,112","38,078","39,225","40,870","42,310","44,398","45,411","44,926","43,601","45,116","44,775","44,829","45,995","46,893","48,412","50,308","51,043","53,840","53,785","53,910","53,853","54,741","54,965","56,893","57,864","57,465","55,492","55,578","56,361","56,850","56,083","57,620"
New Mexico,"24,618","24,782","24,901","25,294","26,073","26,819","26,934","26,847","27,009","27,363","27,424","27,580","28,051","28,558","28,923","29,569","29,634","30,017","30,923","30,932","32,220","33,779","33,924","33,770","34,378","35,161","35,816","36,341","36,701","35,626","35,841","36,366","36,687","35,822","37,091"
New York,"31,598","31,894","32,547","33,846","35,810","36,954","38,595","39,700","41,719","42,943","43,470","41,499","42,292","41,888","41,943","42,905","43,692","44,920","46,197","47,265","48,565","48,545","47,749","47,856","49,298","50,164","52,228","54,548","53,920","52,574","53,495","54,301","55,230","54,469","55,611"
North Carolina,"23,834","24,076","24,043","25,154","26,868","27,690","28,947","29,716","30,889","31,729","31,469","30,989","32,245","32,715","33,270","33,953","34,593","35,594","36,989","37,605","38,321","38,084","37,516","37,412","38,575","39,089","39,666","40,067","39,497","38,551","38,609","38,540","39,852","38,382","39,171"
North Dakota,"23,182","27,291","27,444","27,707","28,424","28,540","28,721","28,870","25,878","28,092","29,235","28,465","30,165","29,546","31,071","30,162","32,649","31,340","33,940","33,679","35,564","35,485","35,741","37,946","37,237","38,100","38,551","41,284","45,002","43,491","46,636","50,368","57,104","55,248","55,802"
Ohio,"28,472","28,075","27,738","28,558","30,216","31,012","31,865","32,143","32,999","33,784","33,822","32,906","33,799","33,981","34,785","35,273","35,780","36,920","38,348","38,722","39,359","39,333","39,230","39,339","39,762","39,625","40,417","40,679","40,296","39,197","39,486","40,840","41,578","41,405","42,236"
Oklahoma,"27,529","28,606","29,058","28,080","28,895","29,200","28,943","28,201","28,648","29,299","29,313","28,727","29,283","29,282","29,558","29,769","30,334","30,983","32,151","32,394","34,094","35,528","35,279","35,440","36,325","37,528","39,369","39,458","41,501","38,147","39,021","41,082","42,836","42,638","43,637"
Oregon,"29,184","28,273","27,331","28,241","29,223","29,543","30,443","30,743","31,698","32,731","32,728","32,268","32,797","33,365","34,174","35,080","36,050","36,786","37,910","38,308","39,699","39,232","38,568","38,630","39,454","39,318","40,571","40,697","40,413","39,043","38,850","39,477","40,294","40,061","41,220"
Pennsylvania,"28,802","28,817","29,016","29,508","30,587","31,485","32,480","33,147","34,386","35,480","35,493","35,230","35,894","35,965","36,112","36,648","37,375","38,337","39,751","40,532","41,919","42,149","42,256","42,525","43,416","43,532","44,865","45,761","45,829","44,995","45,500","46,324","47,199","46,769","47,679"
Rhode Island,"28,270","28,416","28,702","29,948","31,444","32,429","33,889","34,695","36,503","37,783","36,573","35,149","35,640","36,005","35,945","36,828","36,929","38,042","39,822","40,306","41,535","42,216","43,032","43,917","44,561","44,359","45,542","46,454","46,065","45,321","46,389","46,612","47,512","46,888","48,359"
South Carolina,"22,762","22,879","22,712","23,730","25,037","25,664","26,580","27,199","28,135","28,854","29,020","28,475","29,040","29,295","29,948","30,492","31,108","31,813","33,150","33,699","34,564","34,575","34,563","34,610","35,255","35,643","36,622","37,038","36,783","35,854","35,661","36,013","36,559","36,043","36,677"
South Dakota,"23,785","25,094","24,975","25,130","27,082","26,830","27,583","28,030","27,979","28,828","29,922","29,629","30,749","30,824","31,973","31,438","33,557","33,391","35,456","36,421","37,484","38,025","37,557","39,805","40,804","40,541","39,810","42,534","44,092","42,652","43,640","46,558","46,180","45,493","45,279"
Tennessee,"23,733","23,787","23,732","24,486","25,955","26,703","27,909","28,753","29,784","30,321","30,328","30,133","31,488","31,999","32,570","33,411","33,714","34,370","36,763","37,115","37,808","37,634","37,656","37,892","38,751","38,422","38,840","39,075","38,827","38,026","38,643","39,278","40,349","39,945","40,457"
Texas,"28,584","29,611","29,482","29,589","30,587","31,265","30,848","30,272","30,771","31,144","31,462","30,973","31,852","32,007","32,269","32,896","33,681","35,133","37,030","37,581","38,993","39,733","38,596","38,607","38,941","40,404","41,755","42,232","43,869","40,860","41,553","43,395","44,853","44,512","45,669"
Utah,"23,751","23,574","23,472","23,780","24,704","25,282","25,719","25,751","26,124","26,536","26,933","26,982","27,486","27,888","28,552","29,485","30,372","31,308","32,551","33,231","34,066","34,378","34,164","33,855","34,515","35,638","37,330","38,408","37,952","35,775","35,401","36,218","37,110","37,130","37,664"
Vermont,"25,055","25,422","25,728","26,418","27,756","28,793","30,222","31,376","32,388","33,705","32,735","31,754","32,748","32,721","33,160","33,712","34,232","35,041","36,869","37,940","39,256","40,068","40,227","40,883","42,168","41,637","42,980","43,907","44,110","43,321","43,490","44,974","45,659","45,561","46,428"
Virginia,"30,276","30,355","30,644","31,721","33,348","34,464","35,866","36,629","37,838","38,495","37,752","37,257","37,841","38,089","38,548","38,878","39,179","40,332","41,992","43,310","44,630","45,073","44,948","45,985","47,307","48,534","49,779","50,714","50,166","49,047","49,293","50,187","50,848","49,744","50,345"
Washington,"31,670","31,409","31,044","31,874","32,450","32,865","34,103","34,335","35,076","36,200","36,527","36,597","37,350","37,266","37,521","37,838","38,907","40,253","42,740","44,160","45,203","44,445","44,257","44,593","46,096","45,767","47,216","49,038","48,892","46,609","46,480","47,147","48,811","48,232","49,610"
West Virginia,"22,909","22,595","22,601","22,546","23,440","23,836","24,271","24,341","25,315","25,930","26,398","26,292","27,380","27,404","27,803","27,888","28,208","28,776","29,522","29,660","30,395","31,161","31,856","31,736","31,950","31,955","33,258","33,468","34,527","34,673","34,848","36,003","36,470","35,729","36,132"
Wisconsin,"28,693","28,265","28,055","28,672","30,127","30,601","31,629","32,083","32,430","33,535","33,297","32,788","33,971","34,297","35,157","35,587","36,259","37,321","39,057","39,513","40,391","40,744","40,876","41,045","41,789","41,594","42,594","43,010","42,866","42,275","42,132","42,976","43,778","43,425","44,186"
Wyoming,"33,031","32,987","31,731","30,191","30,496","31,109","30,570","29,503","29,652","31,459","32,590","32,419","32,826","33,178","33,326","33,594","33,864","35,342","36,928","38,487","39,810","41,095","41,379","42,968","44,724","47,477","51,893","51,950","53,812","47,607","48,678","51,714","53,770","52,625","54,584"
